Wall time,Step,Value
1636026086.8870602,430,93.4375
1636026087.0835795,460,93.75
1636026088.802592,720,94.0625
1636026091.1897237,958,98.4375
1636026095.544443,1598,97.5
1636026096.153882,1688,98.28125
1636026101.2638667,2316,97.96875
1636026101.603123,2366,98.75
1636026103.036008,2576,97.65625
1636026104.2680523,2756,98.4375
1636026107.5329134,3114,99.53125
1636026107.670365,3134,98.90625
1636026108.2159483,3214,99.21875
1636026116.102433,4252,99.6875
1636026118.7450829,4642,99.6875
1636026120.56655,4790,99.53125
1636026124.7707973,5410,100.0
1636026127.592615,5688,99.84375
1636026128.673746,5848,99.84375
1636026129.148809,5918,100.0
1636026132.4029946,6398,100.0
1636026133.2827685,6528,99.84375
1636026135.111919,6676,99.84375
1636026135.786827,6776,100.0
1636026138.6969223,7206,99.84375
1636026139.238816,7286,100.0
1636026143.426327,7784,100.0
1636026144.3725495,7924,100.0
1636026144.5073192,7944,99.84375
1636026145.5260265,8094,99.6875
1636026145.9377,8154,100.0
1636026147.8409202,8434,100.0
1636026156.7897162,9540,100.0
1636026158.5106468,9800,99.84375
1636026158.5770893,9810,100.0
1636026160.7699957,10140,100.0
1636026161.367935,10230,100.0
1636026165.4655175,10728,100.0
1636026165.6646607,10758,100.0
1636026167.4574206,11028,99.84375
1636026168.182749,11138,100.0
1636026174.0601666,11906,99.84375
1636026180.2939107,12724,99.84375
1636027449.048656,150,85.625
1636027449.247493,180,89.21875
1636027493.0520496,10,11.71875
1636027493.3189065,50,12.1875
1636027496.4740782,530,95.78125
1636027496.9323967,600,95.78125
1636027498.3770752,820,96.5625
1636027499.995972,948,96.71875
1636027500.6558228,1048,97.96875
1636027502.629141,1348,97.65625
1636027504.2613668,1598,97.96875
1636027507.1898417,1926,98.28125
1636027509.0966337,2216,97.65625
1636027510.145227,2376,98.75
1636027511.1982238,2536,98.90625
1636027512.585393,2746,98.75
1636027515.712016,3104,99.0625
1636027519.0706804,3614,99.21875
1636027521.0878308,3802,99.53125
1636027521.680754,3892,99.21875
1636027522.5994341,4032,99.53125
1636027522.730565,4052,99.6875
1636027522.927277,4082,99.84375
1636027525.8143706,4522,100.0
1636027530.801448,5160,100.0
1636027531.4351003,5250,99.84375
1636027532.2887087,5380,99.84375
1636027532.4861338,5410,99.6875
1636027533.0107698,5490,99.6875
1636027536.5190463,5898,100.0
1636027537.6408675,6068,99.84375
1636027538.4945972,6198,99.84375
1636027542.863897,6746,100.0
1636027545.1660268,7096,99.84375
1636027548.6852531,7514,99.6875
1636027549.9262633,7704,99.84375
1636027556.7315865,8622,100.0
1636027557.5212018,8742,100.0
1636027558.311688,8862,100.0
1636027559.6249418,9062,100.0
1636027559.9512687,9112,99.84375
1636027560.0169895,9122,100.0
1636027561.3307867,9322,99.84375
1636027561.658319,9372,99.6875
1636027565.4671633,9830,100.0
1636027566.2541845,9950,99.84375
1636027568.548064,10300,100.0
1636027571.6940172,10658,99.84375
1636027571.760029,10668,100.0
1636027571.8924618,10688,100.0
1636027574.782837,11128,99.84375
1636027576.7370496,11306,99.84375
1636027576.867446,11326,99.84375
1636027577.1948712,11376,100.0
1636027578.832673,11626,100.0
1636027578.8976998,11636,100.0
1636027579.5529597,11736,100.0
1636027579.6834679,11756,100.0
1636027580.0097518,11806,100.0
1636027581.913693,12096,100.0
1636027583.7229087,12254,100.0
1636027584.114791,12314,99.84375
1636029381.7449698,510,95.0
1636029386.2494097,1068,97.96875
1636029387.1766574,1208,97.34375
1636029389.499559,1558,95.9375
1636029397.453858,2636,98.90625
1636029402.9956348,3354,98.59375
1636029406.7790723,3802,99.53125
1636029408.5709221,4072,99.375
1636029408.7689738,4102,99.6875
1636029412.6402621,4682,99.84375
1636029417.5989022,5310,100.0
1636029420.8096926,5668,100.0
1636029423.0639243,6008,99.84375
1636029423.9904191,6148,100.0
1636029424.123447,6168,100.0
1636029424.189426,6178,99.84375
1636029428.894357,6766,100.0
1636029433.605152,7476,100.0
1636029436.5799701,7804,99.84375
1636029439.3033702,8214,100.0
1636029442.2109556,8532,99.84375
1636029451.356513,9740,100.0
1636029452.6612241,9920,100.0
1636029452.7954314,9940,100.0
1636029457.031951,10448,100.0
1636029460.7228568,11008,99.84375
1636029461.7185135,11158,100.0
1636029466.0030422,11686,100.0
1636029467.4051197,11896,100.0
1636029467.869003,11966,100.0
1636029471.561646,12404,100.0
1636029475.7932103,13044,100.0
1636029956.9934764,200,10.3125
1636029959.449852,480,11.71875
1636029964.9043512,1008,10.3125
1636029970.3862054,1628,10.3125
1636029971.3623242,1738,9.84375
1636029978.6564045,2476,10.46875
1636029979.8761234,2616,12.8125
1636029980.3992841,2676,12.34375
1636029983.4877012,2934,9.6875
1636029983.9262397,2984,11.5625
1636029986.636937,3294,10.625
