Wall time,Step,Value
1636026085.2945824,190,90.46875
1636026085.693683,250,89.21875
1636026086.755885,410,93.4375
1636026086.8870602,430,93.4375
1636026087.0835795,460,93.75
1636026087.8149312,570,94.21875
1636026088.802592,720,94.0625
1636026088.9990149,750,94.53125
1636026091.1897237,958,98.4375
1636026091.7368236,1038,96.09375
1636026092.0117283,1078,96.5625
1636026093.371701,1278,97.96875
1636026095.340845,1568,98.4375
1636026095.544443,1598,97.5
1636026096.153882,1688,98.28125
1636026096.9057407,1798,97.8125
1636026097.244255,1848,97.5
1636026097.3797557,1868,97.65625
1636026101.2638667,2316,97.96875
1636026101.603123,2366,98.75
1636026102.62475,2516,98.4375
1636026103.036008,2576,97.65625
1636026103.381203,2626,98.59375
1636026103.8597112,2696,98.4375
1636026104.2680523,2756,98.4375
1636026106.437718,2954,99.21875
1636026107.5329134,3114,99.53125
1636026107.670365,3134,98.90625
1636026108.2159483,3214,99.21875
1636026109.0303817,3334,99.375
1636026109.6422687,3424,98.59375
1636026110.1847868,3504,99.6875
1636026111.2795753,3664,99.53125
1636026111.550858,3704,99.0625
1636026116.102433,4252,99.6875
1636026116.170444,4262,100.0
1636026117.3245094,4432,99.53125
1636026117.527204,4462,99.84375
1636026117.7323396,4492,99.53125
1636026118.7450829,4642,99.6875
1636026118.9486701,4672,99.6875
1636026119.0158541,4682,99.375
1636026120.56655,4790,99.53125
1636026121.8489254,4980,100.0
1636026123.2686954,5190,100.0
1636026124.4178126,5360,99.84375
1636026124.7707973,5410,100.0
1636026127.592615,5688,99.84375
1636026128.268681,5788,100.0
1636026128.673746,5848,99.84375
1636026129.148809,5918,100.0
1636026129.21654,5928,100.0
1636026130.2309153,6078,99.6875
1636026131.4497259,6258,100.0
1636026131.5842323,6278,99.84375
1636026132.4029946,6398,100.0
1636026132.87668,6468,100.0
1636026132.944516,6478,99.84375
1636026133.0801792,6498,100.0
1636026133.2827685,6528,99.84375
1636026133.417624,6548,100.0
1636026135.111919,6676,99.84375
1636026135.786827,6776,100.0
1636026136.9414604,6946,99.84375
1636026138.6969223,7206,99.84375
1636026138.9676874,7246,100.0
1636026139.238816,7286,100.0
1636026139.7778156,7366,100.0
1636026140.387229,7456,100.0
1636026142.141778,7594,100.0
1636026142.4126155,7634,100.0
1636026143.0209641,7724,100.0
1636026143.2916386,7764,100.0
1636026143.426327,7784,100.0
1636026143.5614803,7804,100.0
1636026144.035024,7874,100.0
1636026144.3725495,7924,100.0
1636026144.5073192,7944,99.84375
1636026144.8457518,7994,100.0
1636026144.982712,8014,100.0
1636026145.2553189,8054,100.0
1636026145.5260265,8094,99.6875
