Wall time,Step,Value
1636026085.2945418,190,0.004517185967415571
1636026085.6936417,250,0.005519584286957979
1636026086.7558336,410,0.003275684081017971
1636026086.8870177,430,0.0029809309635311365
1636026087.0835388,460,0.0031516961753368378
1636026087.8148897,570,0.002630961127579212
1636026088.8025515,720,0.0033336919732391834
1636026088.9989746,750,0.002798070665448904
1636026091.1896756,958,0.000914701318833977
1636026091.7367778,1038,0.0014066544827073812
1636026092.0116825,1078,0.0015465454198420048
1636026093.371659,1278,0.0012758895754814148
1636026095.3408031,1568,0.001018321723677218
1636026095.5444026,1598,0.0013424421194940805
1636026096.153842,1688,0.0008354645688086748
1636026096.9056995,1798,0.0012564805801957846
1636026097.2442088,1848,0.001347817131318152
1636026097.3797157,1868,0.0013595476048067212
1636026101.2638252,2316,0.0012478426797315478
1636026101.6030788,2366,0.0005752097931690514
1636026102.624709,2516,0.0006577848107554018
1636026103.0359662,2576,0.0011291664559394121
1636026103.3811617,2626,0.0009379499824717641
1636026103.859668,2696,0.0006336260703392327
1636026104.2680123,2756,0.0009000884601846337
1636026106.4376748,2954,0.00030452405917458236
1636026107.5328717,3114,0.00017748466052580625
1636026107.6703231,3134,0.0003039823204744607
1636026108.2159061,3214,0.0003657855268102139
1636026109.0303395,3334,0.00028156134067103267
1636026109.642227,3424,0.0005642470787279308
1636026110.1847456,3504,0.00023677488206885755
1636026111.279534,3664,0.0003138214524369687
1636026111.5508173,3704,0.00041720637818798423
1636026116.1023893,4252,0.00020394381135702133
1636026116.1703975,4262,9.153721475740895e-05
1636026117.32447,4432,0.00029354565776884556
1636026117.527164,4462,8.050916949287057e-05
1636026117.732296,4492,0.00018257704505231231
1636026118.7450402,4642,0.00015167021774686873
1636026118.9486296,4672,0.0002518169058021158
1636026119.0158143,4682,0.00029709379305131733
1636026120.5665088,4790,0.00025460190954618156
1636026121.848876,4980,0.00010002034105127677
1636026123.2686555,5190,2.366701119171921e-05
1636026124.4177732,5360,0.0001025249803205952
1636026124.7707505,5410,0.00010425660730106756
1636026127.5925684,5688,6.423458398785442e-05
1636026128.268636,5788,4.5402954128803685e-05
1636026128.673705,5848,5.2627419790951535e-05
1636026129.1487658,5918,4.249899211572483e-05
1636026129.2164977,5928,4.8640835302649066e-05
1636026130.2308757,6078,0.00033444116706959903
1636026131.4496863,6258,6.241555092856288e-05
1636026131.5841928,6278,9.561041224515066e-05
1636026132.4029548,6398,5.632636384689249e-05
1636026132.8765793,6468,4.251989957992919e-05
1636026132.9444735,6478,0.0001582152908667922
1636026133.0801387,6498,4.930373324896209e-05
1636026133.2827291,6528,7.147467113099992e-05
1636026133.4175844,6548,5.594516915152781e-05
1636026135.1118782,6676,5.391702143242583e-05
1636026135.7867875,6776,5.6973785831360146e-05
1636026136.941421,6946,6.97903597028926e-05
1636026138.6968765,7206,0.0001473818556405604
1636026138.9676368,7246,4.507114863372408e-05
1636026139.238772,7286,6.003922680974938e-05
1636026139.777771,7366,2.3324089852394536e-05
1636026140.387189,7456,5.427317228168249e-05
1636026142.1417377,7594,2.9059225198579952e-05
1636026142.4125748,7634,2.8951220883755013e-05
1636026143.020921,7724,4.771774911205284e-05
1636026143.2915983,7764,4.424856524565257e-05
1636026143.426287,7784,2.99188668577699e-05
1636026143.5614412,7804,1.8763796106213704e-05
1636026144.0349839,7874,2.1890164134674706e-05
1636026144.3725107,7924,4.464713856577873e-05
1636026144.5072799,7944,4.3705294956453145e-05
1636026144.8457115,7994,4.534333129413426e-05
1636026144.9826703,8014,4.734150570584461e-05
1636026145.2552783,8054,5.1968057960039005e-05
1636026145.525986,8094,0.0005184561596252024
1636026145.9376597,8154,2.465791294525843e-05
1636026146.0061069,8164,5.029972817283124e-05
1636026147.5696924,8394,2.9675446057808585e-05
1636026147.8408797,8434,5.2421870350372046e-05
1636026150.9135928,8772,2.440558273519855e-05
1636026151.3747084,8842,2.8844320695498027e-05
1636026151.7713003,8902,3.8352365663740784e-05
1636026152.692588,9042,6.422173464670777e-05
1636026152.9566338,9082,2.3407048502122052e-05
1636026153.4213517,9152,5.096375025459565e-05
1636026153.5540035,9172,0.00016785654588602483
1636026153.9536352,9232,1.8996985090780072e-05
1636026154.086028,9252,5.1541486755013466e-05
1636026155.865617,9400,4.157350122113712e-05
1636026155.931851,9410,4.0135262679541484e-05
1636026156.5922632,9510,2.1324098270270042e-05
1636026156.7896764,9540,3.152216231683269e-05
1636026157.3814178,9630,2.8375394322210923e-05
1636026157.6461418,9670,3.724581256392412e-05
1636026157.911824,9710,4.3721534893848e-05
1636026158.5106037,9800,4.72719402750954e-05
1636026158.5770473,9810,4.764313416671939e-05
1636026158.9756327,9870,0.00019107270054519176
1636026159.0413852,9880,3.3793879993027076e-05
1636026159.375309,9930,3.740457759704441e-05
1636026160.56998,10110,9.384419536218047e-05
1636026160.769954,10140,3.380213092896156e-05
1636026161.3678927,10230,3.700781235238537e-05
1636026164.2051535,10538,7.387535879388452e-05
1636026165.0679655,10668,2.2661433831672184e-05
1636026165.4654782,10728,2.7299378416500986e-05
1636026165.6646204,10758,2.9754481147392653e-05
1636026165.7983663,10778,9.534005948808044e-05
1636026166.0646374,10818,2.0180259525659494e-05
1636026166.4636736,10878,5.836351920152083e-05
1636026166.7951984,10928,3.0793071346124634e-05
1636026167.4573817,11028,6.502169708255678e-05
1636026167.8534048,11088,1.8629409169079736e-05
1636026168.1827087,11138,4.6801262215012684e-05
1636026168.8448703,11238,7.514673052355647e-05
1636026172.4694626,11666,2.4747858333284967e-05
1636026172.73464,11706,3.8919133658055216e-05
1636026172.801887,11716,4.368166264612228e-05
1636026172.867536,11726,0.00033224871731363237
1636026174.0601277,11906,9.736823267303407e-05
1636026174.9221835,12036,3.559915057849139e-05
1636026175.7875168,12166,8.54261961649172e-05
1636026178.3644667,12434,3.878479037666693e-05
1636026179.163517,12554,1.7149604900623672e-05
1636026179.89662,12664,8.04139708634466e-05
1636026180.0958695,12694,7.513837044825777e-05
1636026180.2938726,12724,9.441430302103981e-05
1636026181.6150436,12924,3.904072946170345e-05
1636026182.0158021,12984,1.8408376490697265e-05
1636026182.4787247,13054,4.35413203376811e-05
1636026182.8766866,13114,2.2487422029371373e-05
1636027449.048613,150,0.007394700311124325
1636027449.2474506,180,0.005586153361946344
1636027449.9780936,290,0.00445128045976162
1636027493.0520039,10,0.04251008853316307
1636027493.2520094,40,0.03951198235154152
1636027493.3188648,50,0.037686605006456375
1636027496.4740355,530,0.0023466935381293297
1636027496.6703782,560,0.0031935584265738726
1636027496.8669066,590,0.002974845003336668
1636027496.932356,600,0.002192774321883917
1636027498.3770344,820,0.0019924016669392586
1636027499.9959254,948,0.0016119391657412052
1636027500.1264923,968,0.0014548591570928693
1636027500.655784,1048,0.001181556610390544
1636027500.921024,1088,0.001651332131586969
1636027502.5638702,1338,0.0015868579503148794
1636027502.6291003,1348,0.0010451829293742776
1636027503.3456304,1458,0.0015650874702259898
1636027503.8673863,1538,0.0011193882673978806
1636027504.1305504,1578,0.0014332215068861842
1636027504.2613237,1598,0.0010998379439115524
1636027507.1897943,1926,0.0009568792884238064
1636027507.4527235,1966,0.0006275128107517958
1636027509.0965903,2216,0.0010019059991464019
1636027510.1451867,2376,0.0008142375154420733
1636027510.210731,2386,0.000971458968706429
1636027511.1981826,2536,0.0005997368134558201
1636027511.4599724,2576,0.0008356706239283085
1636027512.5200937,2736,0.00046219449723139405
1636027512.5853522,2746,0.0007793729309923947
1636027514.8599336,2974,0.0002947217144537717
1636027515.187598,3024,0.0004923294764012098
1636027515.5156841,3074,0.000356928474502638
1636027515.7119746,3104,0.0005767905968241394
1636027516.0406458,3154,0.00038265500916168094
1636027516.2386162,3184,0.0003555738367140293
1636027517.0250273,3304,0.00035538722295314074
1636027517.5532703,3384,0.0006885070470161736
1636027518.0156791,3454,0.00044189655454829335
1636027518.4776232,3524,5.127280383021571e-05
1636027519.0706391,3614,0.0005648951046168804
1636027519.3354456,3654,0.00027520814910531044
1636027519.4659634,3674,0.00032588947215117514
1636027519.5975199,3694,0.0003989016404375434
1636027519.795191,3724,0.0001701823202893138
1636027521.0877888,3802,0.00019113282905891538
1636027521.6807137,3892,0.0005416146013885736
1636027522.3367126,3992,0.00013631787442136556
1636027522.5993927,4032,0.00028558922349475324
1636027522.730525,4052,0.00022912371787242591
1636027522.9272377,4082,0.00013259518891572952
1636027523.2561328,4132,0.000132386339828372
1636027523.452502,4162,0.00046582522918470204
1636027523.5183194,4172,0.00017159251729026437
1636027524.8301013,4372,0.00039519104757346213
1636027525.4200113,4462,6.104609929025173e-05
1636027525.8143294,4522,9.849781054072082e-05
1636027526.2727895,4592,8.023122063605115e-05
1636027526.3379512,4602,0.0003045993798878044
1636027527.763024,4700,0.00010281334107276052
1636027528.229657,4770,7.120519876480103e-05
1636027529.6106353,4980,5.0008220568997785e-05
1636027529.8732603,5020,0.00014369333803188056
1636027530.5370321,5120,0.0001734660181682557
1636027530.801406,5160,5.393094033934176e-05
1636027531.4350586,5250,0.00019945389067288488
1636027532.2886682,5380,7.683555304538459e-05
1636027532.4860914,5410,0.00012769769818987697
1636027532.879386,5470,5.538437108043581e-05
1636027533.0107298,5490,6.594364094780758e-05
1636027536.1250901,5838,6.024093454470858e-05
1636027536.5190053,5898,6.098184530856088e-05
1636027537.640827,6068,0.00014484544226434082
1636027538.2986498,6168,5.6998218497028574e-05
1636027538.4945571,6198,0.00010697402467485517
1636027538.625428,6218,0.00013047286483924836
1636027539.8009229,6398,5.8465691836318e-05
1636027540.7249,6538,5.833778777741827e-05
1636027540.8557348,6558,0.00019147558487020433
1636027542.8638568,6746,3.233963070670143e-05
1636027543.126357,6786,5.371328006731346e-05
1636027543.6560192,6866,3.407202166272327e-05
1636027544.7729716,7036,6.871871300972998e-05
1636027545.165987,7096,0.00016530185530427843
1636027546.7442088,7336,6.815242522861809e-05
1636027547.5971057,7466,5.630721716443077e-05
1636027547.7928228,7496,2.3098547899280675e-05
1636027548.6852095,7514,0.00015596371667925268
1636027548.8154585,7534,2.4571769245085306e-05
1636027548.9459279,7554,0.00014472160546574742
1636027549.2080035,7594,5.255634096101858e-05
1636027549.469405,7634,4.143434853176586e-05
